sample,cosine_similarity,n_snv,cancer_type
TCGA-05-4244-01A-01D-1105-08,0.9444465343754669,2.326335860928751,Lung Adenocarcinoma
TCGA-05-4249-01A-01D-1105-08,0.9387517755128382,2.506505032404872,Lung Adenocarcinoma
TCGA-05-4250-01A-01D-1105-08,0.9321462013744168,2.5728716022004803,Lung Adenocarcinoma
TCGA-05-4382-01A-01D-1931-08,0.9891066919392039,3.2377949932739227,Lung Adenocarcinoma
TCGA-05-4384-01A-01D-1753-08,0.9003110819666417,2.1271047983648077,Lung Adenocarcinoma
TCGA-05-4389-01A-01D-1265-08,0.9604660566050481,2.361727836017593,Lung Adenocarcinoma
TCGA-05-4390-01A-02D-1753-08,0.9798681930102981,2.6954816764901977,Lung Adenocarcinoma
TCGA-05-4395-01A-01D-1265-08,0.9585660341219563,2.436162647040756,Lung Adenocarcinoma
TCGA-05-4396-01A-21D-1855-08,0.9398192878717037,2.374748346010104,Lung Adenocarcinoma
TCGA-05-4397-01A-01D-1265-08,0.982480809749199,2.929418925714293,Lung Adenocarcinoma
TCGA-05-4398-01A-01D-1265-08,0.9801568834660054,2.8530895298518657,Lung Adenocarcinoma
TCGA-05-4402-01A-01D-1265-08,0.9707801364318612,2.060697840353612,Lung Adenocarcinoma
TCGA-05-4403-01A-01D-1265-08,0.8840884933078644,2.113943352306837,Lung Adenocarcinoma
TCGA-05-4405-01A-21D-1855-08,0.9627984036677337,2.5327543789924976,Lung Adenocarcinoma
TCGA-05-4410-01A-21D-1855-08,0.9773005560573481,3.0394141191761372,Lung Adenocarcinoma
TCGA-05-4415-01A-22D-1855-08,0.9470289780320218,2.3096301674258988,Lung Adenocarcinoma
TCGA-05-4417-01A-22D-1855-08,0.9509397801206229,2.4653828514484184,Lung Adenocarcinoma
TCGA-05-4418-01A-01D-1265-08,0.9528441551904546,2.4456042032735974,Lung Adenocarcinoma
TCGA-05-4420-01A-01D-1265-08,0.9713525087232501,2.459392487759231,Lung Adenocarcinoma
TCGA-05-4424-01A-22D-1855-08,0.9737445859408719,2.8382192219076257,Lung Adenocarcinoma
TCGA-05-4427-01A-21D-1855-08,0.9753023060355417,2.9800033715837464,Lung Adenocarcinoma
TCGA-05-4430-01A-02D-1265-08,0.9509387933137404,2.3654879848909,Lung Adenocarcinoma
TCGA-05-4432-01A-01D-1265-08,0.975115413050021,2.762678563727436,Lung Adenocarcinoma
TCGA-05-5423-01A-01D-1625-08,0.928788862692881,2.1702617153949575,Lung Adenocarcinoma
TCGA-05-5425-01A-02D-1625-08,0.9732243675604142,2.7589118923979736,Lung Adenocarcinoma
TCGA-05-5428-01A-01D-1625-08,0.9793957195960478,2.591064607026499,Lung Adenocarcinoma
TCGA-05-5715-01A-01D-1625-08,0.9535683870606991,2.0530784434834195,Lung Adenocarcinoma
TCGA-06-5416-01A-01D-1486-08,0.991039651266598,4.160708572292429,Glioblastoma Multiforme
TCGA-06-5858-01A-01D-1696-08,0.9644493381543199,2.27415784926368,Glioblastoma Multiforme
TCGA-12-0775-01A-01W-0348-08,0.9180512162161806,2.0170333392987803,Glioblastoma Multiforme
TCGA-12-0829-01A-01W-0424-08,0.9698663177164274,2.161368002234975,Glioblastoma Multiforme
TCGA-14-0871-01A-01W-0424-08,0.9110360116243034,2.0086001717619175,Glioblastoma Multiforme
TCGA-14-1396-01A-01W-0611-08,0.969846975676726,2.2278867046136734,Glioblastoma Multiforme
TCGA-14-1795-01A-01W-0643-08,0.9799988291853508,2.2764618041732443,Glioblastoma Multiforme
TCGA-16-0848-01A-01D-1492-08,0.9729088212701825,2.5352941200427703,Glioblastoma Multiforme
TCGA-16-0848-01A-01W-0424-08,0.9750931871352652,2.4313637641589874,Glioblastoma Multiforme
TCGA-17-Z000-01A-01W-0746-08,0.9254203410618576,2.0718820073061255,Lung Adenocarcinoma
TCGA-17-Z001-01A-01W-0746-08,0.9468210210951862,2.2600713879850747,Lung Adenocarcinoma
TCGA-17-Z003-01A-01W-0746-08,0.9212698287763802,2.3560258571931225,Lung Adenocarcinoma
TCGA-17-Z010-01A-01W-0746-08,0.9615829408332168,2.424881636631067,Lung Adenocarcinoma
TCGA-17-Z011-01A-01W-0746-08,0.8731620289411772,2.0293837776852097,Lung Adenocarcinoma
TCGA-17-Z015-01A-01W-0746-08,0.964239401674311,2.6599162000698504,Lung Adenocarcinoma
TCGA-17-Z016-01A-01W-0746-08,0.9727287826891556,2.484299839346786,Lung Adenocarcinoma
TCGA-17-Z017-01A-01W-0746-08,0.9264523535754358,2.296665190261531,Lung Adenocarcinoma
TCGA-17-Z018-01A-01W-0746-08,0.9457932572254741,2.3729120029701067,Lung Adenocarcinoma
